round,outcome,bet_type,bet_target,amount,win,payout,bankroll
489,19,red,red,20,True,20,340
490,35,red,red,20,False,-20,320
491,22,red,red,20,False,-20,300
492,1,red,red,20,True,20,320
493,33,red,red,20,False,-20,300
494,2,red,red,20,False,-20,280
495,21,red,red,20,True,20,300
496,2,red,red,20,False,-20,280
497,19,red,red,20,True,20,300
498,23,red,red,20,True,20,320
499,22,red,red,20,False,-20,300
500,33,red,red,20,False,-20,280
501,29,red,red,20,False,-20,260
502,28,red,red,20,False,-20,240
503,3,red,red,20,True,20,260
504,7,red,red,20,True,20,280
505,4,red,red,20,False,-20,260
506,34,red,red,20,True,20,280
507,24,red,red,20,False,-20,260
508,13,red,red,20,False,-20,240
509,34,red,red,20,True,20,260
510,36,red,red,20,True,20,280
511,20,red,red,20,False,-20,260
512,2,red,red,20,False,-20,240
513,15,red,red,20,False,-20,220
514,31,red,red,20,False,-20,200
515,11,red,red,20,False,-20,180
516,17,red,red,20,False,-20,160
517,35,red,red,20,False,-20,140
518,27,red,red,20,True,20,160
519,26,red,red,20,False,-20,140
520,0,red,red,20,False,-20,120
521,15,red,red,20,False,-20,100
522,10,red,red,20,False,-20,80
523,20,red,red,20,False,-20,60
524,20,red,red,20,False,-20,40
525,26,red,red,20,False,-20,20
526,16,red,red,20,True,20,40
527,27,red,red,20,True,20,60
528,31,red,red,20,False,-20,40
529,20,red,red,20,False,-20,20
530,11,red,red,20,False,-20,0
